,id,title,keywords
0,2,Quantum machine learning for 6G communica-tion networks: State-of-the-art and vision for the future,"network,6g,machine learning,quantum"
2,162,A survey of 5G network: Architecture andemerging technologies,"network,5g"
3,52,Towards massive connectivity support for scal-able mMTC communications in 5G networks,"network,5g"
4,-1,Towards massive machinetype communications in ultra-dense cellular IoT networks: Currentissues and machine learning-assisted solutions,"network,iot,machine learning"
5,-1,Open issues and beyond 5G,5g
6,10,6G vision and requirements: Is there any needfor beyond 5G,"5g,6g"
7,-1,A speculative study on 6G,6g
8,-1,6G: The next frontier,6g
9,-1,"A vision of 6Gwireless systems: Applications, trends, technologies, and open researchproblems","6g,wireless,system"
11,-1,Thirty years of machine learning: The road to Pareto-optimal next-generation wireless networks,"network,machine learning,wireless"
12,53,"Big data analytics, machine learning, and artificial intelligence in next-generation wireless networks","data,network,machine learning,wireless"
13,-1,When machine learningmeets big data: A wireless communication perspective,"data,machine learning,wireless"
14,54,Collaborative distributed Q-learning forRACH congestion minimization in cellular IoT networks,"network,iot"
15,55,A very brief introduction to machine learning with appli-cations to communication systems,"machine learning,system"
16,-1,Deep learning inmobile and wireless networking: A survey,"network,deep learning,wireless"
17,-1,"Wireless networksdesign in the era of deep learning: Model-based, AI-based, or both","network,artificial inteligence,deep learning,wireless"
18,-1,Channelagnostic end-to-end learning based communication systems with condi-tional GAN,system
19,56,An introduction to deep learning for the physi-cal layer,deep learning
20,57,Power of deep learning for channelestimation and signal detection in OFDM systems,"deep learning,system"
21,58,Deep reinforcement learning for resource allocationin V2V communications,
22,59,Propagationchannels for mmWave vehicular communications: State-of-the-art andfuture research directions,"vehicle,wave"
23,-1,Deep learning-basedchannel estimation for beamspace mmWave massive MIMO systems,"deep learning,system,beam,wave"
24,60,Machine learningfor vehicular networks: Recent advances and application examples,"network,machine learning,vehicle"
25,61,Deep learningconvolutional neural networks for radio identification,"network,deep learning,radio"
26,62,On a novel deep-learning-based intelligent partially overlapping channel assignment inSDN-IoT,"iot,reinforced learning"
27,63,Enabling cognitive smart citiesusing big data and machine learning: Approaches and challenges,"data,machine learning,smart"
28,-1,Quantum computing is exciting and important-really,quantum
29,-1,A survey on quantum computing technol-ogy,quantum
30,64,Quantum algorithms for wireless communications,"algorithm,wireless,quantum"
31,-1,The quantum dynamic capacity for-mula of a quantum channel,quantum
32,65,EXIT-chart aided quantum code design improvesthe normalised throughput of realistic quantum devices,"artificial inteligence,quantum"
33,66,Quantum-aided multi-objective routing optimizationusing back-tracing-aided dynamic programming,"artificial inteligence,ram,quantum"
34,67,Quantum turbo decoding for quantum channelsexhibiting memory,"memory,quantum"
35,68,Quantum-assisted indoor localization for uplink mm-Wave and downlink visible light communication systems,"system,wave,quantum"
36,69,Quantum-assisted joint multi-objective routing and load balancing forsocially-aware networks,"network,quantum"
37,70,Joint quantum-assisted channel estimation and data detection,"data,quantum"
38,71,Quantum-aided multi-user transmission innon-orthogonal multiple access systems,"artificial inteligence,system,quantum"
39,-1,A future with quantum machine learning,"machine learning,quantum"
40,-1,Universal discriminative quantum neural networks,"network,quantum"
41,-1,Quantum machine learning,"machine learning,quantum"
42,-1,Quantum algorithmsfor supervised and unsupervised machine learning,"machine learning,algorithm,quantum"
43,-1,Quantum-enhanced machinelearning,quantum
45,4,"5G: A tutorial overview of standards, trials, challenges,deployment, and practice",5g
46,7,What will 5G be,5g
47,72,Millimeter-wave communication with out-of-band information,wave
48,73,Energy and spectral effi-ciency of very large multiuser MIMO systems,"system,energy"
49,74,Optimal cell load and throughput in green small cellnetworks with generalized cell association,network
51,75,Network function virtualization: State-of-the-art andresearch challenges,network
52,76,"Network slicing and softwarization: A survey on principles, enablingtechnologies, and solutions",network
53,77,Mobile edge com-puting: A survey,
54,78,Intelligent 5G: When cellular networks meet artificialintelligence,"network,5g"
55,79,Live data analytics with collaborative edgeand cloud processing in wireless IoT networks,"data,network,iot,wireless,cloud"
56,80,5G-enabledtactile Internet,"5g,internet"
57,-1,A guide to wireless networking bylight,"network,wireless"
58,81,Dynamic spectrum sharing in 5G wireless networks withfull-duplex technology: Recent advances and research challenges,"network,5g,wireless"
59,82,UAV trajectory optimization for data offloading atthe edge of multiple cells,data
60,83,Spatialspectrum sharing for satellite and terrestrial communication networks,network
61,84,Analysis of spectrum occupancy usingmachine learning algorithms,"machine learning,algorithm"
62,85,A survey of energy-efficient techniques for 5G networks and challengesahead,"network,5g,energy"
63,86,A new wireless communication paradigm through software-controlled metasurfaces,"software,wireless"
65,87,Simultaneous wireless information and power transfer (SWIPT):Recent advances and future challenges,wireless
66,88,Proactive content caching byexploiting transfer learning for mobile edge computing,cache
67,89,Mobility-aware edge caching and computingin vehicle networks: A deep reinforcement learning,"network,cache,vehicle"
68,90,A wireless optical backhaul solutionfor optical attocell networks,"network,wireless"
69,91,Shared access satellite-terrestrial reconfigurable back-haul network enabled by smart antennas at mmwave band,"network,smart,wave"
70,92,Distributed caching enabled peak trafficreduction in ultra-dense IoT networks,"network,iot,cache"
71,93,A surveyof physical layer security techniques for 5G wireless networks and chal-lenges ahead,"network,5g,security,wireless"
72,94,Machine learning and deep learning methods for cyberse-curity,"machine learning,deep learning"
73,95,Lightweight quantum encryption forsecure transmission of power data in smart grid,"data,smart,quantum"
74,96,Neural network basedMIMO-OFDM channel equalizer using comb-type pilot arrangement,network
75,-1,Learning assisted estimation for time- vary-ing channels,
76,97,Airborne Internet access through submarine optical fiber cables,"artificial inteligence,internet"
77,98,Echo state networks forproactive caching in cloud-based radio access networks with mobileusers,"network,cloud,cache,radio"
78,-1,Self-organizing networks: A packet scheduling approach for cover-age/capacity optimization in 4G networks using reinforcement learning,network
79,-1,Multi-agent deep reinforcement learningfor dynamic power allocation in wireless networks,"network,wireless"
80,99,Joint transmit/receive antenna selection for MIMO systems:A real-valued genetic approach,system
81,100,Selecting array con-figurations for MIMO systems: An evolutionary computation approach,system
82,101,Power control of cellularradio systems via robust Smith prediction filter,"system,radio"
83,102,Joint receive antenna selection and symboldetection for MIMO systems: A heterogeneous genetic approach,system
84,-1,GAbased estimation of sparse MIMO channels with superimposed training,artificial inteligence
85,-1,Evolutionary algorithms for wireless communications—A review of the state-of-the art,"algorithm,wireless"
86,-1,GA based sensing of sparse multipath channels withsuperimposed training sequence,artificial inteligence
87,-1,Cognitive radioswith genetic algorithms: Intelligent control of software defined radios,"software,algorithm,radio"
88,-1,Predicting wireless channel features using neural networks,"network,wireless"
89,163,A com-prehensive survey of recent advancements in molecular communication,
90,-1,Receiver design in molecular communica-tions: An approach based on artificial neural networks,network
91,-1,WLAN–based indoor localization using neuralnetworks,network
92,-1,A deep learning framework for optimization of MISO downlinkbeamforming,"deep learning,ram,beam"
93,103,Deep learning in physicallayer communications,deep learning
94,104,"Learning radio resource management in RANs: Framework,opportunities, and challenges","ram,radio"
95,-1,User associationand load balancing for massive MIMO through deep learning,deep learning
96,-1,Applications of deep reinforcement learn-ing in communications and networking: A survey,network
97,105,A novel PAPR reduction scheme forOFDM system based on deep learning,"deep learning,system"
98,-1,Learning to detect,
99,-1,Deepconvolutional neural networks for massive MIMO fingerprint-based posi-tioning,network
100,-1,Deep learningfor wireless physical layer: Opportunities and challenges,"deep learning,wireless"
101,106,Learn-ing to optimize: Training deep neural networks for wireless resourcemanagement,"network,artificial inteligence,wireless"
102,107,Online energy-efficient powercontrol in wireless networks by deep neural networks,"network,wireless,energy"
103,108,A survey on transfer learning,
104,-1,A survey ondeep transfer learning,
105,-1,Deep unfolding:Model-based inspiration of novel deep architectures,
106,-1,Deep learning detection net-works in MIMO decode-forward relay channels,deep learning
107,-1,NeXtgeneration/dynamic spectrum access/cognitive radio wireless networks:A survey,"network,wireless,radio"
108,109,Cognitive radio techniques under practical imperfections:A survey,radio
109,110,Machine learn-ing techniques for cooperative spectrum sensing in cognitive radio net-works,radio
110,111,Intelligentpower control for spectrum sharing in cognitive radios: A deep rein-forcement learning approach,radio
111,112,Spectrum sharingoptimization in cellular networks under target performance and budgetrestriction,network
112,-1,Machine learning for cognitive net-works: Technology assessment and research challenges,machine learning
113,-1,A survey of self-organizing networks,network
114,113,A survey on machine-learningtechniques in cognitive radios,radio
115,114,Machine learning for cognitive network management,"network,machine learning"
117,-1,Quantum computation and quantuminformation,quantum
118,115,Quantum communications: Explained for communication engi-neers,"artificial inteligence,quantum"
119,-1,Quantum communications,quantum
120,-1,Quantum communications: An engineering approach,quantum
121,116,A survey on quantum channelcapacities,quantum
122,-1,A single quantum cannot be cloned,quantum
123,117,Entanglement-assisted capacity of a quantum channel and the reverseShannon theorem,quantum
124,118,The private classical capacity and quantum capacity of aquantum channel,quantum
125,119,Identifying the informationgain of a quantum measurement,"artificial inteligence,quantum"
126,-1,Analysis of quantum key distribution basedsatellite communication,quantum
127,-1,Quantum key distribution technologies,quantum
128,-1,Teleporting an unknown quantum state via dual clas-sical and einstein-podolsky-rosen channels,quantum
129,-1,Communication via one- and two-particle operators on Einstein-Podolsky-Rosen states,
130,120,Quantum spread spec-trum multiple access,quantum
131,121,The quantum theory of optical communications,quantum
132,122,Feasibility ofquantum communications in aquatic scenario,quantum
133,123,Terahertz essential devices technique research based on quantumcommunication,quantum
134,124,Quantum communication forwireless wide-area networks,"network,wireless,quantum"
135,-1,Evidence for quantum annealing with more than onehundred qubits,quantum
136,125,The capacity of the quantum channel with general signalstates,quantum
137,-1,Capacity of the noisy quantum channel,quantum
138,-1,The capacity of a quantum channel for simul-taneous transmission of classical and quantum information,quantum
139,126,Entanglement-assisted communicationof classical and quantum information,quantum
140,-1,"Trading classical communication, quan-tum communication, and entanglement in quantum Shannon theory",quantum
141,-1,Entanglement-assistedquantum turbo codes,quantum
142,164,The squashed entangle-ment of a quantum channel,quantum
143,127,Consequences ofmany-cell correlations in clocked quantum-dot cellular automata,quantum
144,128,A device architecture for computing withquantum dots,quantum
145,-1,Quantum-dot cellularautomata: Theory and application,quantum
146,129,Automateddesign architecture for 1-D cellular automata using quantum cellularautomata,quantum
147,130,Design of generalized pipeline cellulararray in quantum-dot cellular automata,quantum
148,131,A signal distribution networkfor sequential quantum-dot cellular automata systems,"network,system,quantum"
149,-1,A survey of quantum-like approachesto decision making and cognition,quantum
150,-1,Quantitative predictions in quantumdecision theory,quantum
152,-1,Long-distance trust-free quantum keydistribution,quantum
153,-1,Scheme of thinking quantum systems,"system,quantum"
154,-1,An introductory review on quantumgame theory,quantum
155,-1,Qubit devices and the issue of quantum decoherence,quantum
156,-1,Exploiting randomness in quantum infor-mation processing,quantum
157,-1,A survey of the current status of research onquantum games,quantum
158,-1,Variations on classical andquantum extractors,quantum
159,167,The bounded-storage model in thepresence of a quantum adversary,quantum
160,166,Quantum-proof randomnessextractors via operator space theory,quantum
161,-1,Extracting randomness viarepeated condensing,
162,132,"Quantum search algorithms,quantum wireless, and a low-complexity maximum likelihood iterativequantum multi-user detector design","algorithm,wireless,quantum"
163,133,Low-complexity soft-output quantum-assisted multiuser detection for direct-sequence spread-ing and slow subcarrier-hopping aided SDMA-OFDM systems,"artificial inteligence,system,quantum"
164,134,Fixed-complexity quantum-assistedmulti-user detection for CDMA and SDMA,quantum
165,135,Iterativequantum-assisted multi-user detection for multi-carrier interleave divi-sion multiple access systems,"reinforced learning,system,quantum"
166,136,Quan-tum search-aided multi-user detection of IDMA-assisted multi-layeredvideo streaming,artificial inteligence
167,137,The impact of nodeselfishness on multicasting in delay tolerant networks,network
168,138,Quantum-assistedrouting optimization for self-organizing networks,"network,quantum"
169,139,Joint channel estimation anddata detection in MIMO-OFDM systems: A sparse Bayesian learningapproach,"data,system"
170,140,Joint channel estima-tion and multiuser detection for SDMA/OFDM based on dual repeatedweighted boosting search,
172,-1,"Quantum computing and super-vised machine learning: Training, model selection, and error estima-tion","artificial inteligence,machine learning,quantum"
173,-1,Quantum speed-up for unsuper-vised learning,quantum
174,-1,Quantum reinforce-ment learning,quantum
175,-1,Advances in quantumreinforcement learning,quantum
176,141,A quantum inspired reinforce-ment learning technique for beyond next generation wireless networks,"network,wireless,quantum"
177,-1,Towards quantum machine learning with tensor networks,"network,machine learning,quantum"
178,-1,A quantum machine learn-ing algorithm based on generative models,"algorithm,quantum"
179,-1,An algorithm of quantum restrictedboltzmann machine network based on quantum gates and its application,"network,algorithm,quantum"
180,-1,Quantumdeep learning neural networks,"network,deep learning,quantum"
181,142,Quantum neural networks(QNNs): Inherently fuzzy feedforward neural networks,"network,quantum"
182,-1,Quantum neural network,"network,quantum"
183,-1,Quantum neural networks,"network,quantum"
184,-1,Quantum perceptron models,quantum
185,-1,Quantum support vectormachine for big data classification,"data,quantum"
186,-1,Quantum sparse support vectormachines,quantum
187,143,Sparse representationfor wireless communications: A compressive sensing approach,wireless
188,-1,Application of quantumannealing to training of deep neural networks,"network,artificial inteligence,quantum"
189,-1,Quantum deep learn-ing,quantum
190,-1,Distributed secure quantum machine learn-ing,quantum
191,-1,A survey towards an integration of big data ana-lytics to big insights for value-creation,data
192,-1,Quantum gate learning in qubitnetworks: Toffoli gate without time-dependent control,"network,quantum"
193,-1,Quantum computing in the NISQ era and beyond,quantum
194,-1,"Future directions of quantum informationprocessing: A workshop on the emerging science and technology ofquantum computation, communication, and measurement",quantum
195,-1,Google moves toward quantum supremacy with 72-qubitcomputer,quantum
196,-1,A space-efficient quantum computer simulator suitable for high-speed FPGAimplementation,"artificial inteligence,quantum"
197,-1,A grid enabled quantum com-puter simulator,quantum
198,-1,Competitive cachingwith machine learned advice,cache
199,-1,A deep reinforcementlearning-based framework for content caching,"ram,cache"
200,144,Learn to cache:Machine learning for network edge caching in the big data era,"data,network,machine learning,cache"
201,-1,A quantumapproximate optimization algorithm,"algorithm,quantum"
202,145,Multi-objective routingoptimization using evolutionary algorithms,algorithm
203,-1,Multi-task learning as multi-objective optimiza-tion,
204,146,Quantum computing in big data analytics:A survey,"data,quantum"
205,-1,Emerging trends ofgreen IoT for smart world,"iot,reinforced learning,smart"
206,-1,Goinggreen with IoT for smart world-an overview,"iot,reinforced learning,smart"
207,147,A survey on network methodologies for real-time analytics of massiveIoT data and open research issues,"data,network,iot"
208,-1,Towardsthe science of security and privacy in machine learning,"machine learning,security"
209,-1,Machine learning based antennadesign for physical layer security in ambient backscatter communi-cations,"machine learning,security"
210,148,Training-based antenna selection for PER minimization: A POMDPapproach,artificial inteligence
211,149,Learning and data-driven beam selectionfor mmWave communications: An angle of arrival-based approach,"data,beam,wave"
212,150,Learning state selection for reconfig-urable antennas: A multi-armed bandit approach,
213,-1,Accelerating beamsweeping in mmWave standalone 5G new radios using recurrent neuralnetworks,"network,5g,beam,radio,wave"
214,-1,Machine learning algorithm forwireless indoor localization,"machine learning,algorithm,wireless"
215,151,Indoor localization usingvisible light via fusion of multiple classifiers,
216,-1,Terabit free-space data transmission employing orbitalangular momentum multiplexing,data
217,152,Adaptive demodulator using machinelearning for orbital angular momentum shift keying,
218,-1,Analysis of an adaptive orbital angular momentumshift keying decoder based on machine learning under oceanic turbulencechannels,machine learning
219,-1,Ubiquitous cell-free massive MIMOcommunications,
220,-1,OFDM-Autoencoder for end-to-end learning of communications sys-tems,
221,153,"Learning to communicate:Channel auto-encoders, domain specific regularizers, and attention",artificial inteligence
222,-1,Deep learn-ing based MIMO communications,
223,154,Deep learningbased communication over the air,"artificial inteligence,deep learning"
224,-1,End-to-end learning of com-munications systems without a channel model,system
225,155,Dictionary learning-based sparse channel repre-sentation and estimation for FDD massive MIMO systems,system
227,156,On the performance of non-orthogonal multiple access in 5G systems with randomly deployed users,"5g,machine learning,system"
228,-1,Embracingnon-orthogonalmultiple access in future wireless networks,"network,wireless"
229,157,NOMA based resource allocation and mobility enhancement frameworkfor IoT in next generation cellular networks,"network,iot,ram"
230,158,Detec-tion for 5G-NOMA: An online adaptive machine learning approach,"5g,machine learning"
231,-1,The application of machine learningin mmWave-NOMA systems,"machine learning,system,wave"
232,159,Deep learning for an effec-tive nonorthogonal multiple access scheme,deep learning
233,-1,On the performanceand optimization for MEC networks using uplink NOMA,network
234,160,Delay minimizationfor NOMA-MEC offloading,
235,161,Applications ofmachine learning to cognitive radio networks,"network,machine learning,radio"
236,-1,Role of artificial intelligence in cog-nitive radio networks,"network,radio"
